Artificial Intelligence,"Harness the full potential of data and analytics to gain a competitive edge in today�s business climate.
The idea of a Smart Nation is creating a huge buzz particularly amongst businesses and organisations. It�s not hard to fathom why given the array of potential benefits that it can bring to both service providers and consumers alike. Big data is an essential factor in any business success and a key focus in the Smart Nation initiatives. But it�s not the size of the data that matters; rather it�s how you utilise them that counts.

Data and analytics are crucial in defining success for businesses. They provide valuable insights for more intelligent decision-making and act as a catalyst for positive change. The knowledge and information gathered are also beneficial in the effort to remain competitive and achieve sustainable success.

ISS provides a comprehensive suite of Artificial Intelligence courses that will empower participants with the capability to make data driven and evidence-based decisions. These assets are pivotal in the development of effective strategic solutions and the effort to achieve greater competitive advantage.

The range of available courses includes the NICF- Statistics Bootcamp. This foundation course will equip participants with the capability to use R in their statistical analysis to facilitate more accurate and effective data-driven decisions. Another course on offer is the NICF- Social Media Analytics, an intermediate level course, where participant will acquire the skill to interpret social media data and produce effective actions based on the analytics.

With the increasing interests in business analytics and the advantages it can render, more organisations and businesses are expected to join the data-driven revolution. The Analytics and Intelligent Systems courses are designed to help your business harness its true potential and more.

For those who are keen to delve deeper into Artificial Intelligence, you may want to explore our Master of Technology in Intelligent Systems programme."
NICF- Machine Reasoning ,"Duration:	4 days
Course Time	9:00am - 5:00pm
Enquiry	Please contact Ms. Jeryn LIN at tel: 66017926 or email  for more details. Artificial intelligence (AI) exists in modern computer systems, most times behind the scene. In this course, we reveal those intelligent techniques leading to reasoning ability and smart behaviours embedded in intelligent software systems, which make use of knowledge (digitized data useful to business), learn, reason and take actions automatically, in various business contexts and industry domains.
Participants learn comprehensive knowledge of artificial intelligence (AI) fundamentals, automated computer/machine reasoning methods, knowledge discovery and modelling, decision support technologies, and intuitive graphics-based programming skills to design and create intelligent machine reasoning systems to solve real-world problems."
Upcoming Classes of NICF- Machine Reasoning ,Class 1 22 Aug 2019 to 27 Aug 2019 (Full Time)
Key Takeaways of NICF- Machine Reasoning ,"Upon completion of the course, participants will be able to:
Identify needs of machine reasoning technology in various industrial applications, for decision automation.
Acquire knowledge of core machine reasoning techniques, including rule/process-based logical reasoning, domain expert knowledge acquisition and representation, knowledge discovery, and handling uncertainty during reasoning process.
Apply data mining / machine learning techniques to extract knowledge from data, then express business rules/processes in computer readable format.
Create software application by applying learnt machine reasoning techniques and computer programming."
What Will Be Covered in  NICF- Machine Reasoning ,"
This course will cover: 

Day 1
Machine Reasoning Overview
Reasoning Types and System Architectures
Machine Reasoning Foundation Workshop

Day 2
Knowledge Acquisition and Representation
Knowledge Models (from the acquired to the represented)
Knowledge Modelling Workshop

Day 3
Artificial Intelligence: Technical Machine Inference
Knowledge Discovery by Data Mining / Machine Learning
Knowledge Discovery Workshop

Day 4
Contemporary Reasoning Systems
Creating Machine Reasoning System Workshop
 Course Assessment"
NICF- Robotic Systems ,"Duration	5 days
Course Time	9:00am - 5:00pm
Enquiry	Please contact Ms. Jaymee TAN at email  for more details.
This 5-day course is designed for professionals who wish to gain specialised knowledge in the integration and development of various components within intelligent robotic systems for a wide range application across various industries. The modules will benefit those working in various sectors, for example, in medical, manufacturing and defence industry.

Participants will gain in-depth knowledge in areas like understanding autonomous behaviour types in robotics, robotics sensory operations, understanding robotics mobility, and robotic path planning and fuzzy behaviors in robotics. There will be workshops and assessment to reinforce participants� learning as part of the course.

This course is part of the Artificial Intelligence series and  Graduate Certificate in Intelligent Robotic Systems Series offered by NUS-ISS.

Upcoming Classes
Class 1 18 Nov 2019 to 22 Nov 2019 (FullTime)"
NICF- Vision Systems ,"Duration	5 days
Course Time	9:00am - 5:00pm
Enquiry	Please contact Ms. Sherlyn LIM at tel: 65165777 or email  for more details.
This 5-day intensive course will provide participants with the comprehensive knowledge of computer vision methods and technologies, and the practical skills to design and build vision systems to solve real-world problems.

This course will benefit engineers, scientists, and project management professionals who need to design, develop, implement and evaluate software and hardware solutions in various applications of vision systems. Participants will benefit from a careful balance of lectures and practical workshops, and some of the topics covered will include concepts and techniques for vision system, video modelling and representation, video processing and analysis, feature extraction and representation, vision system using machine learning such as detection, recognition, segmentation, design, build and evaluate real-time vision system, etc.

This course is part of the Artificial Intelligence and Graduate Certificate in Intelligent Sensing Systems Series offered by NUS-ISS.

 

 

Upcoming Classes
Class 1 15 Jul 2019 to 19 Jul 2019 (Full Time)
Class 2 11 Nov 2019 to 15 Nov 2019 (FullTime)"
NICF- New Media and Sentiment Mining ,"Duration	4 days
Course Time	9.00am - 5.00pm
Enquiry	Please contact Ms. Sherlyn LIM at tel: 65165777 or email  for more details.
Do you have a lot of textual data from various sources like customers, internal documents, emails, news articles and the social media that comes in fast and furious? Do you want to extract meaningful opinions and sentiments from these textual data automatically? This course further extends the knowledge and skillsets built by the NICF - Text Analytics  course. It equips the attendee with the necessary skillsets to design sentiment analysis system and apply them in various social fields. 

The ability to process and analyse voluminous textual data provides the participants an edge in this new media age. The objective of this course is to introduce participants to sentiment analysis and its applications. Participants will gain the requisite skills to evaluate the supervised learning algorithms for sentiment classification. They will be able to evaluate and analyse granular meaning of texts from documents and articles.

The course will assume that the participants have good knowledge of text analytics and techniques, and some hands on experience of modelling using these techniques using Python. Participants are also expected to have knowledge of statistics at the level of the NICF - Statistics Bootcamp  course.

This course is part of the Artificial Intelligence and Graduate Certificate in Practical Language Processing Series offered by NUS-ISS.

 

Upcoming Classes
Class 1 29 Oct 2019 to 01 Nov 2019 (Full Time)"
NICF- Text Processing using Machine Learning ,"Duration	5 days
Course Time	9.00am - 5.00pm
Enquiry	Please contact Ms. Sherlyn LIM at tel: 65165777 or email  for more details.
We are in an era where AI and analytics are transforming industries and people�s life at an unprecedented pace. In the recently released report from Gartner, Top 10 Strategic Technology Trends for 2018, the top two trends are AI Foundation, and Intelligent Apps and Analytics.

AI Foundation focuses on creating systems that learn, adapt and potentially act autonomously, and leveraging AI to enhance decision making, reinvent business models and ecosystems, and remake the customer experience. The technologies and techniques in AI Foundation have grown substantially over the years, as the availability of massive amounts of data has fed machine learning, resulting in the flourishing of more advanced algorithms in the form of deep learning.

The second trend, Intelligent Apps and Analytics, clearly states AI�s huge impact in the next-generation data and analytics paradigm, Augmented Analytics. Machine learning is key in this new paradigm, automating data preparation, insight discovery and insight sharing for a broad range of end-users and citizen data scientists, while expert data scientists focusing on specialized problems and on embedding models into applications. The need to perform processing on natural language data is reflected in the illustrated paradigm, identifying three tasks in this area � natural language processing (NLP), natural language query (NLQ), natural language generation (NLG).

In the field of NLP, deep learning techniques has taken a dominant position over tradition statistical methods. Researchers have been reporting much higher performance metrics applying deep learning to solve problems like text classification, language modeling, speech recognition, caption generation, machine translation, document summarization, question answering, etc.

This course, Text Processing Using Machine Learning, provides essential knowledge and skills required to perform deep learning based text processing in common tasks encountered in industries. A combination of lectures, case studies, and workshops will be used to cover the application of DL techniques such as word-embedding, Convolutional Neural Networks (CNNs), Recurrent Neural Networks (RNNs), LSTMs, character-based language modelling, encoder-decoder models, reinforcement learning, etc.

This course is part of the Artificial Intelligence and Graduate Certificate in Practical Language Processing Series offered by NUS-ISS."
NICF- Machine Reasoning ,"Duration	4 days
Course Time	9:00am - 5:00pm
Enquiry	Please contact Ms. Jeryn LIN at tel: 66017926 or email  for more details. Artificial intelligence (AI) exists in modern computer systems, most times behind the scene. In this course, we reveal those intelligent techniques leading to reasoning ability and smart behaviours embedded in intelligent software systems, which make use of knowledge (digitized data useful to business), learn, reason and take actions automatically, in various business contexts and industry domains.
Participants learn comprehensive knowledge of artificial intelligence (AI) fundamentals, automated computer/machine reasoning methods, knowledge discovery and modelling, decision support technologies, and intuitive graphics-based programming skills to design and create intelligent machine reasoning systems to solve real-world problems.
Upcoming Classes
Class 1 22 Aug 2019 to 27 Aug 2019 (Full Time)"
