NICF - Lean IT Foundation Certification (SF),"Reference No CRS-Q-0034788-ICT
Part of -
Duration 3 days
Course Time 9:00am - 5:00pm
PDU 14.5
PDU and PD hours are available for this course
Enquiry Please contact Ms. Serene ANG at tel: 66012391 or email  for more details.
Do you feel that your IT processes (e.g. for projects, software development, operations, infra management etc) are too complex, too bureaucratic, too slow, have too much documentation and don�t satisfy your users and customers? 

One good way to improve this situation is to make use of Lean IT best practices.

Lean IT is the extension of Lean principles applied to IT products and services. Lean IT can be interpreted as an IT process improvement strategy; a way to design, transform and run the IT business so as to maximise customer value and reduce waste. It focuses on improving value, efficiency and speed, through reduction of waste within the value delivery processes of an IT organisation.  

The Lean concept has a great impact on the culture of an organisation as it empowers employees to participate in the optimisation of processes. The principles of Lean IT are applicable to all organisations with IT operations regardless of industry or sector.

Lean IT is complementary to other frameworks and methods such as ITIL�, PMP�, CMMI� and COBIT�. These frameworks provide guidelines on best-practice processes but do not provide much guidance on how the implementation details of the processes can be optimised to reduce waste and increase value to the customer/user. Lean IT provides this complementary aspect.  

Lean IT is also complementary to agile methods such as SCRUM. For example, SCRUM recommends reflecting on completed SCRUM processes for improvement (e.g. via sprint retrospective) but SCRUM does not give much guidance on how to improve. Again, Lean IT provides this complementary aspect.

Lean companies are arguably more successful than non-lean companies in terms of business value and retaining talent, and their success is more sustainable over time.

This course teaches Lean IT Foundation principles and concepts. Class exercises, workshops and quiz are used extensively to reinforce the participants' understanding and practice of the concepts as well as assess the competence of the participants. The course also includes the Lean IT Foundation Exam which leads to the Lean IT Foundation Certificate for successful participants.

The 60-minute, 40 questions, multiple-choice Lean IT Foundation certificate exam is scheduled on the last day of the course.

Upon completion of this course, participants would be able to:

Broaden their skills on process improvement with a strong emphasis on focusing on value as seen from the customer�s perspective
Minimising waste and producing more efficient IT services, which in turn benefits the organisation
This course is part of the  Digital Agility Series offered by NUS-ISS.

Upon successful completion of this course, you will earn 14.5 PDUs (PM: 10.5, Leadership: 2, Business: 2) that can be used to maintain your PMP� credential. Note that for the purpose of PDU reporting by those with PMP� credentials, the PMI REP Provider Number of ISS is �2339�.

Upcoming Classes
Class 1 29 Aug 2019 to 02 Sep 2019 (FullTime)
Class 2 20 Feb 2020 to 24 Feb 2020 (FullTime)"
NICF- Vision Systems (SF),"Duration 5 days
Course Time 9:00am - 5:00pm
Enquiry Please contact Ms. Sherlyn LIM at tel: 65165777 or email  for more details.
This 5-day intensive course will provide participants with the comprehensive knowledge of computer vision methods and technologies, and the practical skills to design and build vision systems to solve real-world problems.

This course will benefit engineers, scientists, and project management professionals who need to design, develop, implement and evaluate software and hardware solutions in various applications of vision systems. Participants will benefit from a careful balance of lectures and practical workshops, and some of the topics covered will include concepts and techniques for vision system, video modelling and representation, video processing and analysis, feature extraction and representation, vision system using machine learning such as detection, recognition, segmentation, design, build and evaluate real-time vision system, etc.

This course is part of the Artificial Intelligence and Graduate Certificate in Intelligent Sensing Systems Series offered by NUS-ISS.

 

 

Upcoming Classes
Class 1 15 Jul 2019 to 19 Jul 2019 (Full Time)
Class 2 11 Nov 2019 to 15 Nov 2019 (FullTime)
"
NICF- DevOps Foundation with BizOps (SF),"Duration 3 days
Course Time 9.00am - 5.00pm
PDU 17.5
PDU and PD hours are available for this course
Enquiry Please contact Ms. Serene ANG at tel: 66012391 or email  for more details. Whether you are in IT or Project management, application development or IT infra/operations, the growing business demand for ever faster time-to-market means that you now need to know DevOps and BizOps, in addition to Agile.  

While Agile caters only to development work, DevOps and BizOps will cater to the whole end-to-end IT work process.

DevOps (an international best practice) caters to an agile/lean, automated end-to-end process for application development/enhancement work - starting from development work and extending to the downstream IT infra/operations work (e.g. infra setup, deployment and operations/monitoring).  

BizOps caters to an agile/lean process for business needs that are directly catered for by IT infra/ops and IT/project managers without involvement of software developers.  These can be new services (e.g. implementation of new infra such as IoT sensor network), upgrade of existing services (e.g. upgrade of wifi network) and work relating to existing services (e.g. service requests, incident management etc.) 

While most DevOps courses touch indirectly on BizOps, this course will explicitly cover BizOps in addition to DevOps so as to provide a coverage of lean/agile across all IT services and the roles that all the different IT management/specialists play in it as well as tools that are important to such agility.

As DevOps and BizOps do not have a widely-recognised, de-facto certification body or international standard as yet, this course captures and integrates international best practices from the industry (e.g. from companies such as Spotify) so as to provide useful and practical foundational competencies in DevOps and BizOps.

You will earn 17.5 PDUs (Technical : 17.5) upon successful completion of this course. For the purpose of PDU reporting, the ISS PMI� REP Provider Number is �2339�.

This course is part of the Software Systems series and Digital Agility series offered by NUS-ISS.
 
Upcoming Classes
Class 1 24 Jul 2019 to 26 Jul 2019 (Full Time)
Class 2 18 Sep 2019 to 20 Sep 2019 (FullTime)
Class 3 19 Feb 2020 to 21 Feb 2020 (FullTime)"
NICF- Text Processing using Machine Learning (SF),"Duration 5 days
Course Time 9.00am - 5.00pm
Enquiry Please contact Ms. Sherlyn LIM at tel: 65165777 or email  for more details.
We are in an era where AI and analytics are transforming industries and people�s life at an unprecedented pace. In the recently released report from Gartner, Top 10 Strategic Technology Trends for 2018, the top two trends are AI Foundation, and Intelligent Apps and Analytics.

AI Foundation focuses on creating systems that learn, adapt and potentially act autonomously, and leveraging AI to enhance decision making, reinvent business models and ecosystems, and remake the customer experience. The technologies and techniques in AI Foundation have grown substantially over the years, as the availability of massive amounts of data has fed machine learning, resulting in the flourishing of more advanced algorithms in the form of deep learning.

The second trend, Intelligent Apps and Analytics, clearly states AI�s huge impact in the next-generation data and analytics paradigm, Augmented Analytics. Machine learning is key in this new paradigm, automating data preparation, insight discovery and insight sharing for a broad range of end-users and citizen data scientists, while expert data scientists focusing on specialized problems and on embedding models into applications. The need to perform processing on natural language data is reflected in the illustrated paradigm, identifying three tasks in this area � natural language processing (NLP), natural language query (NLQ), natural language generation (NLG).

In the field of NLP, deep learning techniques has taken a dominant position over tradition statistical methods. Researchers have been reporting much higher performance metrics applying deep learning to solve problems like text classification, language modeling, speech recognition, caption generation, machine translation, document summarization, question answering, etc.

This course, Text Processing Using Machine Learning, provides essential knowledge and skills required to perform deep learning based text processing in common tasks encountered in industries. A combination of lectures, case studies, and workshops will be used to cover the application of DL techniques such as word-embedding, Convolutional Neural Networks (CNNs), Recurrent Neural Networks (RNNs), LSTMs, character-based language modelling, encoder-decoder models, reinforcement learning, etc.

This course is part of the Artificial Intelligence and Graduate Certificate in Practical Language Processing Series offered by NUS-ISS."
NICF- ITIL� Continual Service Improvement Certificate (SF),"Duration 4 days
Course Time 
PDU 21
PDU and PD hours are available for this course
Enquiry Please contact Ms. Serene ANG at tel: 66012391 or email  for more details. This is one of the ITIL� Intermediate Level courses leading to the ITIL� Expert Certificate. You may refer to the official ITIL� Credit Profiler on suitable course combinations that will lead to the Expert certification. 

This course immerses the participants in the practical aspects of the ITIL� Service Lifecycle and processes associated with the Continual Service Improvement of services and service delivery. Focusing on the process elements involved in identifying and introducing service management improvements, this course also deals with issues surrounding service retirement. Participants will be provided with practical and hands-on learning experiences via a scenario-based approach.

This course is part of the Digital Agility Series offered by NUS-ISS.

Upon successful completion of this course, you will earn 21 PDUs (PM: 21) that can be used to maintain your PMP� credential. Note that for the purpose of PDU reporting by those with PMP� credentials, the PMI REP Provider Number of ISS is �2339�.
Upcoming Classes
Class 1 23 Oct 2019 to 29 Oct 2019 (FullTime)"
NICF- ITIL� Operational Support and Analysis Certificate (SF),"Duration 5 days
Course Time 
PDU 17.5
PDU and PD hours are available for this course
Enquiry Please contact Ms. Serene ANG at tel: 66012391 or email  for more details. This is one of the ITIL� Intermediate Level courses leading to the ITIL� Expert Certificate. You may refer to the official ITIL� Credit Profiler on suitable course combinations that will lead to the Expert certification. 

The 5-day course immerses participants in the practical aspects of the ITIL� Service Lifecycle and processes associated with the Operational Support and Analysis of services and service delivery. Successful implementation of ITIL� Operational Support and Analysis best practices enables IT departments to reduce downtime and costs while improving customer satisfaction.

This course is part of the  Digital Agility  Series offered by NUS-ISS.

Upon successful completion of this course, you will earn 17.5 PDUs (PM: 17.5) that can be used to maintain your PMP� credential. Note that for the purpose of PDU reporting by those with PMP� credentials, the PMI REP Provider Number of ISS is �2339�."
"NICF- ITIL� Release, Control and Validation Certificate (SF)","Duration 5 days
Course Time 9:00am - 5:00pm
PDU 25.5
PDU and PD hours are available for this course
Enquiry Please contact Ms. Serene ANG at tel: 66012391 or email  for more details. This is one of the ITIL� Intermediate Level courses leading to the ITIL� Expert Certificate. You may refer to the official ITIL� Credit Profiler on suitable course combinations that will lead to the Expert certification. 

The 5-day course immerses participants in the practical aspects of the ITIL� Service Lifecycle and processes associated with the Release, Control and Validation of services and service delivery. The primary focus of this course is on the Transition Lifecycle phase with its process activities and supporting methods and approaches to executing these processes. To implement new and changed services in a controlled and cost-effective manner, IT departments must successfully employ and utilise ITIL� Release, Control and Validation best practices.

This course is part of the Digital Agility  Series offered by NUS-ISS.

Upon successful completion of this course, you will earn 25.5 PDUs (PM: 25.5) that can be used to maintain your PMP� credential. Note that for the purpose of PDU reporting by those with PMP� credentials, the PMI REP Provider Number of ISS is �2339�.
Upcoming Classes
Class 1 20 Aug 2019 to 26 Aug 2019 (Full Time)"
NICF- ITIL� Service Offerings and Agreements Certificate (SF),"Duration 5 days
Course Time 9:00am - 5:00pm
PDU 27.5
PDU and PD hours are available for this course
Enquiry Please contact Ms. Serene ANG at tel: 66012391 or email  for more details. This is one of the ITIL� Intermediate Level courses leading to the ITIL� Expert Certificate. You may refer to the official ITIL� Credit Profiler on suitable course combinations that will lead to the Expert certification.

The 5-day course immerses participants in the practical aspects of the ITIL� Service Lifecycle and processes associated with the implementation and management of the processes and functions involved in Service Offerings and Agreements. The primary focus of this course is on the Service Portfolio Management, Service Catalogue Management, Service Level Management, Demand Management, Supplier Management and Financial Management processes.

This course is part of the Digital Agility  Series offered by NUS-ISS.

Upon successful completion of this course, you will earn 27.5 PDUs (PM: 8, Business: 19.5) that can be used to maintain your PMP� credential. Note that for the purpose of PDU reporting by those with PMP� credentials, the PMI REP Provider Number of ISS is �2339�.
Upcoming Classes
Class 1 07 Nov 2019 to 13 Nov 2019 (Full Time)"
NICF- PMI Agile Certified Practitioner (PMI-ACP)� Preparatory Course (SF),"Duration 3 days
Course Time 9:00am - 5:00pm
PDU 21
PDU and PD hours are available for this course
Enquiry Please contact Ms. WONG Swee Lee at tel: 65162020 or email  for more details.
The Agile approach is gaining increasing importance in project management and globally recognised companies such as IBM, Cisco and Yahoo are actively using Agile Project Management frameworks. The collaborative, adaptive and flexible nature of Agile methodologies boosts customer satisfaction, improves customer trust and retention, and leads to repeat business. 

In this 3-day course, participants will explore and apply the Agile principles and mindset within the context of the project team and organisation. You will acquire an in-depth knowledge of Scrum, the most commonly used Agile framework and understand the basics of other major Agile frameworks such as XP, Lean and KANBAN. In addition, you will learn how to apply popular Agile techniques in iteration and release planning, progress tracking, agile modeling, and agile team management through hands-on workshops. 

All participants will be given a free copy of the second edition of the �PMI-ACP� Exam Prep� book by Mike Griffiths.

About PMI-ACP� Certification
For those who are sitting for the PMI-ACP� examination, this course will prepare you for it. For more information on the examination, click here. 
The PMI Agile Certified Practitioner (PMI-ACP)� is the latest certification offered by PMI� and is expected to be the industry standard certification for Agile in the next few years.

The PMI-ACP� certification is designed to:

Demonstrate to employers the practitioner�s level of professionalism in agile practices of project management
Increase the practitioner�s professional versatility in both project management tools and techniques
The certification carries a higher level of professional credibility as it requires a combination of agile training, experience working on agile projects and examination on agile principles, practices, tools and techniques.

PMI� forecasts an appreciable increase in the number of participants acquiring PMI-ACP� certification within the next 3 to 5 years across the globe. For more information on the ACP� certification published by PMI�, click here.

This course is part of the  Digital Agility and Digital Products & Platforms Series offered by NUS-ISS.

Upon successful completion of this course, you will earn 21 PDUs (Technical: 11.5, Leadership: 5.25, Strategy: 4.25). This fulfils the requirements of the 21 project management training hours (contact hours) for PMI-ACP� eligibility. The PDUs can also be used to maintain your PMP�/PgMP� credential. Note that for the purpose of PDU reporting by those with PMP�/PgMP� credentials, the PMI� REP Provider Number of ISS is �2339�.

Upcoming Classes
Class 1 10 Jul 2019 to 12 Jul 2019 (Full Time)
Class 2 22 Oct 2019 to 24 Oct 2019 (Full Time)
Class 3 20 Jan 2020 to 22 Jan 2020 (Full Time)"
NICF- Systems Thinking & Root Cause Analysis (SF),"Duration 2 days
Course Time 9.00am - 5.00pm
Enquiry Please contact Ms. Jessie NEO at tel: 66017921 or email  for more details.
Note: NICF-Systems Thinking & Root Cause Analysis (SF) for Health Services is next scheduled for 22-23 July 2019 and 13-14 Jan 2020
Note: NICF-Systems Thinking & Root Cause Analysis (SF) [for all industries] is for scheduled for 30-31 May, 07-08 Aug, 19-20 Nov in 2019, and on 06-07 Feb in 2020
Nb: The course has two versions � a special healthcare version, and a normal default version for all industry sectors.  The details of the two versions are described below.

Version for all industries:

When we have difficult digitalisation problems to solve, it pays to have good frameworks and methods to allow the problem to be worked through systematically and successfully. For example, techniques to cater to
Complicated problems such as
tough technical problems (e.g. a mission critical system is down) where experts have difficulty finding the root cause
Complex problems such as
improving an organisation for which its mission-critical digital services fail repeatedly over time, and the organisation is not able to improve and minimise such incidents
methods to handle an environment that is VUCA (Volatile, Uncertain, Complex and Ambiguous) such as to achieve digital transformation and/or create successful new digital services in spite of the VUCA environment or market
analysing and creating or improving a complex stakeholder ecosystem for a digital service
Chaotic problems such as
Major incidents, disasters or crisis causing significant chaos to the organisation and its digital services
This course will provide systems thinking and root cause analysis skills to cater to the above. Techniques covered will include Kepnor Tregoe; analysis and change of systems behaviour (e.g. via System Archetypes, causal loop mapping and ecosystem analysis and design); analysis and change of people behaviour (e.g. via understanding and changing mental models, understanding and working with cognitive biases, allies and adversaries analysis and approach); Cyenfin Framework approaches to complicated, complex and chaotic problems and how these are manifested in techniques such as Sense-making, Lean Startup and Design Thinking as well as in other techniques. Workshops will allow the participants to gain the skills in relevant approaches. 

Health Services Version:

For practitioners working in healthcare or social care, the specially tailored �Systems Thinking and Root Cause Analysis for Health Services� version of this course will be most relevant. The course will teach the tools and strategies to help inform decision making in complex situations and especially help participants grapple with the unique challenges associated with care settings. The health services course includes application of tools and strategies to integrated care models as well as mapping different decision-making domains to the macro, meso and micro levels of healthcare systems. The course is designed to support participants in framing their challenges within the macro level of the system, and scoping their solutions down to meso or micro levels. �Systems Thinking and Root Cause Analysis for Health Services� is offered as a standalone course. It is also one of the five stackable training courses that make up the NUS Professional Diploma in Smart Health Leadership. Upon completion of all five stackable training courses, participants are expected to undertake a capstone project in order to achieve the Professional Diploma award.

This course is part of the Digital Agility as well as the Professional Diploma in Smart Health Leadership offered by NUS-ISS.
Upcoming Classes
Class 1 22 Jul 2019 to 23 Jul 2019 (Full Time, for Health Services)
Class 2 07 Aug 2019 to 08 Aug 2019 (Full Time)
Class 3 19 Nov 2019 to 20 Nov 2019 (Full Time)
Class 4 13 Jan 2020 to 14 Jan 2020 (Full Time)
Class 5 06 Feb 2020 to 07 Feb 2020 (Full Time)"
