National University of Singapore (NUS),"We are Singapore’s flagship university. We hope you will be inspired by the many fascinating facets that make NUS a leading global university centred in Asia.
Getting Ready for the Future
“At NUS, we pride ourselves as being at the forefront of educational innovation and we have implemented a range of initiatives to prepare our students for the future.”"
Executive Education,"Keep abreast of technological trends and stay relevant in the competitive business landscape
Our courses offer in-demand skills and knowledge according to technological and business trends. They are designed and delivered by our teaching staff with over 20 years of industry experience. Gain practical insights and applications to stay ahead in a competitive landscape."
Overview,Executive Education Programmes designed to build capabilities in infocomm and digital business
Disciplines,"ARTIFICIAL INTELLIGENCE
CYBERSECURITY
DATA SCIENCE
DIGITAL INNOVATION & DESIGN
DIGITAL PRODUCTS & PLATFORMS
DIGITAL STRATEGY & LEADERSHIP
SOFTWARE SYSTEMS
STACKUP - STARTUP TECH TALENT DEVELOPMENT
DIGITAL AGILITY"
Artificial Intelligence,"Leverage on the concepts, techniques and methods of Artificial Intelligence, and their application to the development of Intelligent Systems applications.
Data and analytics are crucial in defining success for businesses. They provide valuable insights for more intelligent decision-making and act as a catalyst for positive change. The knowledge and information gathered are also beneficial in the effort to remain competitive and achieve sustainable success.

ISS provides a comprehensive suite of Artificial Intelligence courses that will empower participants with the capability to make data driven and evidence-based decisions. These assets are pivotal in the development of effective strategic solutions and the effort to achieve greater competitive advantage."
CyberSecurity,"Implement information, cloud and software security to protect your organisation from cybersecurity threats.
he need for skilled and highly knowledgeable CyberSecurity professionals is becoming more critical than ever. Do you have the skills in this profession or require more in-depth knowledge in the CyberSecurity arena?

In collaboration with world renowned institutions, NUS-ISS CyberSecurity courses equip ICT professionals with an understanding of the online threats that potentially affect the businesses and functions within your organisation. Our courses provide the essential tools and techniques to predict, prevent, detect, and respond to these threats and contribute to your organisation’s continued success. NUS-ISS is the only official training partner for ISC2 in Singapore. "
Data Science,"Leverage on data and business analytics for intelligent decision-making and help your business harness its true potential
Data and business analytics are crucial in defining success for businesses. They provide valuable insights for more intelligent decision-making and act as a catalyst for positive change. The knowledge and information gathered are also beneficial in the effort to remain competitive and achieve sustainable success.

ISS provides a comprehensive suite of Data Science courses that will empower participants with the capability to make data driven and evidence-based decisions. These assets are pivotal in the development of effective strategic solutions and the effort to achieve greater competitive advantage."
Digital Agility,"Be recognised in skills that help your organisation to become agile
The market and the business environment is under rapid and constant change.  In order to thrive under such environments, organisations need to be able to sense or anticipate changes, make good decisions quickly, execute in a timely manner and then monitor the results and repeat the adaption cycle accordingly.  Such agile practices can be at the business level as in business agility or at functional level such as in the case of agile IT practices. "
Digital Innovation & Design,"Foster innovation and design thinking skills to elevate your organisation in a technology-driven environment.
Similarly, innovative and strategic design thinking is an equally crucial tool in any business and organisation depository to help them remain relevant, competitive and most importantly, to succeed. Digital innovation & design is a core specialisation that is increasingly becoming an essential proficiency. The potential opportunities that accompanies the understanding and skill of this area is abundant.

ISS provides a comprehensive suite of training, consulting and research services that will equip businesses and organisations with relevant social business knowledge, skills and tools. The contents of these training sessions also include innovative and design thinking courses, seminars and conferences suited for all levels and industries. These will equip them with the necessary knowledge and competency to elevate their respective businesses and organisations efficacy in today’s technology-driven environment."
Digital Products & Platforms,"Learn best practices to manage projects and be a certified Product Manager or Project Manager.
Project management is no longer just about delivering scope within schedule and budget; it must unlock the value and the strategic benefits that the projects and products bring to the organisation and stakeholders. It is essential that the individual tasked with the responsibility be equipped with the necessary skills that are as diverse as the multitude of challenges faced.

Best practice frameworks from Programme, Project and Product Management complemented with resurgent practices such as Agile and Lean, will help Product and Project Managers deliver better products in shorter cycles; while continuous engagement with stakeholders and customers helps to validate/assure the value of the products and services developed.
Our training roadmap for Project and Product Management is designed to equip business executives, IT and non-IT professionals involved in project and product delivery with the skills to execute their role more effectively. With a team of industry practitioners that have an average experience exceeding 20 years, NUS-ISS is able to help both organisations and individuals to learn and apply methodologies, best practices, and techniques in the workplace."
Digital Strategy & Leadership,"Develop leadership and strategy capabilities to lead digital transformation initiatives in your organisation.
NUS-ISS leadership courses provide the participants the opportunity to learn from IT-savvy business leaders on the essential skills, practices and mind-set in the digital age. We pride ourselves in our ability to create an industry-oriented and practice-based learning environment. This allows participants to benefit from the wealth of practical experience of the instructors and consultants, through interactive activities and sharing of experiences. Our courses provide the environment where current and potential digital leaders can network and learn amongst peers from various industries in becoming future Digital Leaders. 
The NUS-ISS leadership courses are particularly suited for corporate retreats to align the C-suite team’s vision and direction. It enables specific organisational challenges to be addressed effectively while fostering a clear leadership approach across the entire business and organisation."
Software Systems,"Immerse in world-class software development curriculum and training that connects research and practice.
As technology becomes an essential part of our daily lives, what separates one technology from another is its software. It is the key component that determines a technology’s user-friendly capability and, in most instance, making it fun to use as well. There’s no denying that we are in the golden age of software. Development and design are the foundations of truly successful and applicable software.
One of the tenets of software development is that skill beats scale every time. A small core team of highly skilled software architects and developers can indeed deliver high impact high resilience systems faster and better than a large team of less experienced workers.

NUS-ISS offers an extensive range of core courses to equip IT professionals with the necessary and important tools to elevate their competency and increase their capabilities, enabling them to make even more significant contributions to their organisations."
StackUp - Startup Tech Talent Development,"StackUp develop talents to become technologists at startups with aspirations to advance a smart digital world.
NUS-ISS has all the fundamentals to lead this movement where we create an eco-system to help build the tech caliber of Tech Startups. We are poised to amalgamate the disciplines using a 'whole-stack' approach to co-create the next engine of growth in Singapore with technologists for technologists.

StackUp is a new curriculum conceived to transform individuals into aspiring technologists. It will equip students with the foundational skills required - from attitude and aptitude to technical competencies - to drive the development of market-relevant tech products from idea through to implementation.

Designed to help new startups and SMEs that rely on open stack technologies, this programme offers the chance to participate in class, immerse in apprenticeships and apply newly-acquired principles and concepts to real-life projects."
Funding,"There are several funding schemes for our executive education programmes set up by various Singaporean agencies to develop the skills and capabilities of the workforce. These funding schemes may help you to defray up to 95% of your training costs. The applicable funding schemes will be indicated at the respective course pages.
For Self-Sponsored Individuals
Singaporeans
SkillsFuture Singapore (SSG) Funding
Workfare Training Support (WTS) Scheme
SkillsFuture Funding
Critical Infocomm Technology Resource Programme Plus (CITREP+)

Singaporean Permanent Residents (PRs)
SkillsFuture Singapore (SSG) Funding

For Employer-Sponsored
Singaporeans
SkillsFuture Singapore (SSG) Funding
Workfare Training Support (WTS) Scheme
Enhanced Training Support for SMEs
Absentee Payroll Funding for Organisations
SkillsFuture Funding
Critical Infocomm Technology Resource Programme Plus (CITREP+)
Productivity and Innovation Credit Scheme (PIC)
Singaporean Permanent Residents (PRs)
SkillsFuture Singapore (SSG)
Enhanced Training Support for SMEs
Absentee Payroll Funding for Organisation
Productivity and Innovation Credit Scheme (PIC)
Foreigners
Productivity and Innovation Credit Scheme (PIC)
"
Career Services,"Bi-annual NUS-ISS Career Fairs
We organise bi-annual Career Fairs and Recruitment Talks events to allow displaced NICF executive education participants and employers to network.
Who Should Attend?
Displaced NICF executive education participants (IT professionals)
Graduate Diploma in Systems Analysis graduating cohort
Master of Technology in Software Engineering, Knowledge Engineering and Enterprise Business Analytics graduating cohort
For Employers
Employers who are hiring for positions such as Systems Analyst, Data Analytics, Data Scientist, Software Developers, IT Managers, and are interested to participate in the fair are encouraged to participate in this event. Booths are complimentary for participating companies.

Companies that have previously participated include:
Accenture
Apple South Asia
CrimsonLogic
Hewlett Packard
IBM
Infineon Technologies
Keppel T&T
Job Placements
We facilitate job placements for displaced NICF executive education participants to partner organisations."
One-on-One Career Transition Coaching,"Unemployed NICF participants can sign up for a complimentary 2-hour One-on-One Career Transition Coaching session by a professional coach. This service is brought to you in collaboration with the SkillsFuture Singapore Agency (SSG), and will be open to local Singaporeans and Singapore Permanent Residents.

Key Takeaways:
Identifying key strengths and skills
Creating effective resume and cover letters
Making an impression during interviews
Competency-based interviews
Non-traditional job search options with tips on networking
Answering questions on job search"
Why ISS?,"The nurturing environment at ISS will help transform you into globally-aware leaders, equipped with inter-cultural fluency and practical insights in the world of Infocomm."
Upcoming Preview Talks,"2 Jul 2019 
NUS-ISS SkillsFuture Series Seminar: Pattern Recognition Systems: when the rubber meets the road
8 Jun 2019 
Master of Technology in Intelligent Systems Information Session"
Our Graduates Are Hired By,"IBM
OCBC Bank
Tan Tock Seng Hospital
Singtel
Singapore Pools"
Our Graduates Are Hired By Companies like,"IBM
OCBC Bank
Tan Tock Seng Hospital
Singtel
Singapore Pools"
