Stack Up to a Master of Technology in Enterprise Business Analytics,"Participants who wish to continue their learning journey towards the Master of Technology in Enterprise Business Analytics degree will have to complete 2 certificates in the fundamental areas, any 2 of 4 certificates in the specialist areas as well as capstone project in Data Analytics."
Stackable Certificate Programme in Data Science,"The NUS-ISS Stackable Certificate Programme in Data Science, leading to the NUS Master of Technology in Enterprise Business Analytics is designed to meet the industry demand for data scientists who can help organisations achieve improved business outcomes through data insights. It is best suited for professionals who wish to enhance their existing skill sets to progress from the entry level to specialist or expert level positions in the data science and business analytics domain"
Capstone Project in Data Analytics,Students are required to demonstrate the ability to apply business analytics concepts and solve problems using suitable analytics software in a real-life project using extensive usage of data
Overview of   Graduate Certificate in Management of Business Analytics Project,"This certificate aims to provide practitioners with practice-oriented data analytics skills and knowledge in managing analytics project. Practitioners will be equipped with essential skillsets to understand analytics processes and best practices, to manage data and resources, to uphold data governance, to understand structure of analytics solution, to perform data visualisation, to present insights via compelling data storytelling, and to ensure successful implementation of analytics project."
Course details of of Graduate Certificate in Management of Business Analytics Project,"Duration:	22 days
Level:	Fundamental
Area:	Analytics Project Management and Delivery
This graduate certificate is a part of the Stackable Certificate Programme in Data Science"
Key Takeaways of  Graduate Certificate in Management of Business Analytics Project,"Define clear business needs
Understand the analytics components required in the project
Understand data & resource requirements, data storage & governance discipline
Understand project success criteria & implementation requirement & challenges
Ensure successful completion of the analytics project which is readily implementable"
Fees of Graduate Certificate in Management of Business Analytics Project,"International Participants : S$11,834.20
S'poreans and PRs  : S$3700.06
SkillsFuture Mid-Career Enhanced Subsidy : S$1528.06
Workfare Training Support: S$985.06
Enhanced Training Support for SMEs: S$1528.06
Singaporeans aged 25 and above can use their SkillsFuture Credit to pay for course fees, apart from government subsidies. For more details, please check the website"
Overview of Graduate Certificate in Business Analytics Practice,"Participants will learn the foundation skills to understand, design and solve analytics problems in the industry involving structured and unstructured data. It is targeted at business professionals who wants to build their career in business analytics and wants to become a data scientist in due course. This certificate consists of five course modules plus a practice module as listed below. The 1st to 3rd modules should be taken in Participants will learn the foundation skills to understand, design and solve analytics problems in the industry involving structured and unstructured data. It is targeted at business professionals who wants to build their career in business analytics and wants to become a data scientist in due course. This certificate consists of five course modules plus a practice module as listed below. The 1st to 3rd modules should be taken in chronological order followed by 4th and 5th modules which can be taken in any order. However the practice module must be completed last."
Key Takeaways of Graduate Certificate in Business Analytics Practice,"Define modeling solutions to solve business problems
Understand data requirement, collate and clean data for model development
Understand implementation issues before model development
Develop models, test, validate and make the models ready for implementation
Provide pseudo code and documentation which businesses can use for immediate implementation and future maintenance of the model and reference in case the redevelopment is necessary at a later stage"
Course details of  Graduate Certificate in Business Analytics Practice,"Duration:	29 days
Level:	Fundamental
Area:	Core Analytics Techniques
This graduate certificate is a part of the Stackable Certificate Programme in Data Science"
Fees  of Graduate Certificate in Business Analytics Practice,"International Participants : S$17,976.00
S'poreans and PRs  : S$5542.60
SkillsFuture Mid-Career Enhanced Subsidy : S$2222.60
Workfare Training Support: S$1392.60
Enhanced Training Support for SMEs: S$2222.60
Singaporeans aged 25 and above can use their SkillsFuture Credit to pay for course fees, apart from government subsidies. For more details, please check the website"
Overview of Graduate Certificate in Customer Analytics,"This certificate aims to equip the learners the skills to manage data and provide analytics solution for customer relationship management and run campaigns effectively for growth. To achieve this CRM concepts and infrastructure, Customer Life Cycle Management principles, concepts of multivariate analysis like dimension reduction, cluster analysis, profiling, Propensity models, Attrition/churn Models, RFM Analysis, CLV calculation, Campaign Management principles etc. are covered."
Key Takeaways of Graduate Certificate in Customer Analytics,"Define and understand the principles of customer relationship management, segmentation, customer journey experience, satisfaction and loyalty, customer churn analysis
Understand the customer analytics components like lifecycle value, event and customer level techniques eg. RFM techniques, latency analysis, response models, propensity models, attrition models, association models. intent discovery etc.
Understand the data and technical difficulties needed to implement a customer analytics project
Understand the use cases for customer analytics usage
Understand the analytical techniques for campaign management like test and learn techniques, cross channel techniques, channel mechanics and handoffs, touchpoint mapping"
Course details of Graduate Certificate in Customer Analytics,"Duration:	19 days
Level:	Specialist
Area:	Customer Analytics
This graduate certificate is a part of the Stackable Certificate Programme in Data Science"
Overview of Graduate Certificate in Big Data Engineering and Web Analytics,"This certificate teaches the foundation skills and best practices for big data engineering and edge devices (web and IoT) based solutions for analytics projects within the industry which includes understanding how to successfully build data processing pipelines to meet stakeholder?s requirements, setting up enterprise data lake for insight engineering, performing web analytics towards improved business intelligence, data analytics, management and processing for IoT devices."
Course details of Graduate Certificate in Customer Analytics,"
Duration:	19 days
Level:	Specialist
Area:	Customer Analytics
This graduate certificate is a part of the Stackable Certificate Programme in Data Science"
Modular Courses of Graduate Certificate in Customer Analytics,"NICF - Customer Analytics (SF)
CRM principles, infrastructure needed, Customer Life Cycle Management which includes prospect marketing, onboarding and activation, attrition management, upsell-cross sell, Customer Service etc, Dimension Reduction techniques, Clustering & profiling & methods of strategy formulation, RFM Analysis.
3 Days
NICF - Advanced Customer Analytics (SF)
Deep Dive in CRM with latest developments, CLV calculation in different industries, Formulation of attrition, propensity, cross-sell, look-alike modeling and development using logistic regression for different industries, Understanding cost savings implications of these models, Campaign management principles.
3 Days
Campaign Analytics
CRM overview, Campaign design, Display advertising ecosystem, Campaign targeting and Measurement, Social Media campaigns, Marketing Mix modeling, next best offer targeting and Event based marketing.
3 Days
Practice Module
Participants will undertake projects to tackle one or more real world problems that allow them to gain experience in the topics taught. Projects may be selected from within their own organisations or from other approved sources. These projects will be assessed."
Key Takeaways of Graduate Certificate in Big Data Engineering and Web Analytics,"This certificate teaches the foundation skills and best practices for big data engineering and edge devices (web and IoT) based solutions for analytics projects within the industry which includes understanding how to successfully build data processing pipelines to meet stakeholder?s requirements, setting up enterprise data lake for insight engineering, performing web analytics towards improved business intelligence, data analytics, management and processing for IoT devices."
Overview of Graduate Certificate in Big Data Engineering and Web Analytics,"Understand various aspects of data engineering while building resilient distributed datasets.
Apply key practices, identify multiple data sources appraised against their business value, design the right storage, and implement proper access model(s).
Build a scalable data pipeline solution composed of pluggable component architecture, based on the combination of requirements in a vendor/technology agnostic manner.
Use the Spark platform along with additional libraries such as statistics, query, machine learning and streaming libraries.
Understand relevant web analytics tools and make recommendations to their organisation
Generate, analyse and modify required traffic reports according to information requirements and needs of sales and marketing functions
Implement and apply web analytics and metrics to improve web performance
Collect and process data for newer insights from smaller scale edge IoT devices"
Course details of Graduate Certificate in Big Data Engineering and Web Analytics,"Duration:	21 days
Level:	Specialist
Area:	Big Data Processing
This graduate certificate is a part of the Stackable Certificate Programme in Data Science"
Modular Courses of Graduate Certificate in Big Data Engineering and Web Analytics,"Feature Engineering & Analytics using IOT Data
Understand architectural design and optimisation of sensors network for smart applications and products. Design and implement data processing framework for insight engineering on data from IoT. This includes key areas like: Apply elastic analytics concepts to design scalable analytics solutions, creating visual analytics and dashboard for IoT data. Other areas that highlights feature engineering with IoT data covers areas like dealing with missing value and time series handling.
3 Days
Graph & Web Mining
Understand the goals and core concepts of graph and web mining. Learn how to discover relationships between entities in graphs and networks by mining the links between them. Topics include graph mining, link analysis, network complexity measurement, key player identification, network clustering. Applications include mining social networks, professional networks, communications networks, document networks and web usage patterns.
3 Days
NICF - Big Data Engineering for Analytics (SF)
Understand the various aspects of data engineering while building resilient distributed datasets. Identify multiple data sources appraised against their business value, design the right storage, and implement proper access model(s). Build a scalable data pipeline solution.
5 Days
Practice Module
Students work undertake projects to tackle one or more real world problems that allow them to gain experience in the topics taught. Projects may be selected from within their own organisations or from other approved sources. These projects will be assessed."
